name,addr,street,citystatezip,phone,type,website,lon,lat,addrtype,loctype,address,north,south,east,west
"1623 Brewing Company, LLC","5975 Exchange Drive, Eldersburg, MD 21784",5975 Exchange Drive,"Eldersburg, MD 21784",Phone: (410) 259-5505,Type: Micro,www.1623brewing.com,-76.9773575,39.4164017,premise,rooftop,"5975 exchange dr, eldersburg, md 21784, usa",39.4177423302915,39.4150443697085,-76.97600061970849,-76.9786985802915
1812 Brewery,"13006 Mason Road, Cumberland, MD 21502",13006 Mason Road,"Cumberland, MD 21502",Phone: (301) 876-1808,Type: Taproom,1812brewery.com,-78.700828,39.7021386,premise,rooftop,"13006 mason rd ne, cumberland, md 21502, usa",39.7034837302915,39.7007857697085,-78.69949696970849,-78.70219493029151
7 Locks Brewing,"12227 Wilkins Ave, Rockville, MD 20852-1833",12227 Wilkins Ave,"Rockville, MD 20852-1833",Phone: (301) 841-7123,Type: Micro,www.7locksbrewing.com,-77.11034149999999,39.0561237,street_address,rooftop,"12227 wilkins ave, rockville, md 20852, usa",39.0574726802915,39.0547747197085,-77.10899251970848,-77.1116904802915
AleCraft Brewery,"319 South Main St., Bel Air, MD 21014-3704",319 South Main St.,"Bel Air, MD 21014-3704",Phone: (410) 420-5102,Type: Taproom,www.alecraftbrewery.com,-76.34568399999999,39.5337344,premise,rooftop,"319 s main st, bel air, md 21014, usa",39.53506023029149,39.5323622697085,-76.3443789697085,-76.34707693029151
"Antietam Brewery,LLC","140 Western Maryland Pkwy Unit G, Hagerstown, MD 21740-5197",140 Western Maryland Pkwy Unit G,"Hagerstown, MD 21740-5197",Phone: (301) 791-5915,Type: Micro,www.antietambrewery.com,-77.7605859,39.64024879999999,subpremise,rooftop,"140 western maryland pkwy g, hagerstown, md 21740, usa",39.6416483,39.6386944,-77.7589045,-77.76172319999999
Astro Lab Brewing,"8216 Georgia Ave, Silver Spring, MD 20910-4519",8216 Georgia Ave,"Silver Spring, MD 20910-4519",Phone: (301) 273-9684,Type: Brewpub,www.astrolabbrewing.com,-77.02696279999999,38.9921363,premise,rooftop,"8216 georgia ave, silver spring, md 20910, usa",38.9934842302915,38.9907862697085,-77.0256006197085,-77.0282985802915
Attaboy Barrel House,"24 S Wisner St, Frederick, MD 21701-6083",24 S Wisner St,"Frederick, MD 21701-6083",Phone: (415) 710-6459,Type: Taproom,NA,-77.40330039999999,39.4115954,street_address,rooftop,"24 s wisner st, frederick, md 21701, usa",39.4129443802915,39.4102464197085,-77.40195141970848,-77.4046493802915
B.C. Brewery,"10950 Gilroy Rd, Hunt Valley, MD 21031-1327",10950 Gilroy Rd,"Hunt Valley, MD 21031-1327",Phone: (443) 318-4867,Type: Taproom,www.bcbrewerymd.com,-76.66329,39.4829883,premise,rooftop,"10950 gilroy rd, hunt valley, md 21031, usa",39.4842299302915,39.4815319697085,-76.6620848,-76.6647985
Backshore Brewing Co.,"913 Atlantic Ave, Ocean City, MD 21842-6689",913 Atlantic Ave,"Ocean City, MD 21842-6689",Phone: (410) 289-0008,Type: Brewpub,www.BackshoreBrew.com,-75.08050639999999,38.3403092,premise,rooftop,"913 atlantic ave, ocean city, md 21842, usa",38.3416223302915,38.3389243697085,-75.07917661970849,-75.08187458029151
Battery Island Brewing Company,"101 North Washington St, Havre De Grace, MD 21078",101 North Washington St,"Havre De Grace, MD 21078",Phone: (443) 987-0065,Type: Taproom,www.batteryislandbrewing.com,-76.0895093,39.5478479,premise,rooftop,"101 n washington st, havre de grace, md 21078, usa",39.5492252802915,39.5465273197085,-76.08816346970849,-76.0908614302915
Bay Life Brewing,"7901 Oceano Ave Unit 20-24, Jessup, MD 20794",7901 Oceano Ave Unit 20-24,"Jessup, MD 20794",NA,Type: Taproom,NA,-76.7832923,39.1567136,subpremise,rooftop,"7901 oceano ave unit 20-24, jessup, md 20794, usa",39.1580625802915,39.1553646197085,-76.7819433197085,-76.78464128029151
Bayheads Brewing Company,"2525 Augustine Herman Hwy Ste D, Chesapeake City, MD 21915",2525 Augustine Herman Hwy Ste D,"Chesapeake City, MD 21915",NA,Type: Taproom,www.bayheadsbrewing.com,-75.8193941,39.5199722,subpremise,rooftop,"2525 augustine herman hwy # d, chesapeake city, md 21915, usa",39.52132118029149,39.51862321970849,-75.81804511970849,-75.8207430802915
Big Truck Brewery,"19919 Cameron Mill Rd, Parkton, MD 21120-9004",19919 Cameron Mill Rd,"Parkton, MD 21120-9004",Phone: (443) 934-4231,Type: Taproom,www.btfbeer.com,-76.6602446,39.6711503,premise,rooftop,"19919 cameron mill rd, parkton, md 21120, usa",39.67247168029151,39.66977371970851,-76.65888626970849,-76.66158423029151
"Black Flag Brewing Company, LLC","9315 Snowden River Pkwy, Columbia, MD 21046-2091",9315 Snowden River Pkwy,"Columbia, MD 21046-2091",Phone: (443) 864-5139,Type: Taproom,www.blackflagbrewingco.com,-76.8341655,39.1744078,premise,rooftop,"9315 snowden river pkwy, columbia, md 21046, usa",39.1757785302915,39.1730805697085,-76.83283616970849,-76.8355341302915
"Bog Turtle Brewery, LLC","10 E. MAIN ST. PO BOX 190, RISING SUN, MD 21911",10 E. MAIN ST. PO BOX 190,"RISING SUN, MD 21911",Phone: (484) 758-0416,Type: Taproom,www.bogturtlebrewery.com,-76.0623526,39.697685,premise,rooftop,"10 e main st, rising sun, md 21911, usa",39.6990347802915,39.6963368197085,-76.06098031970849,-76.0636782802915
Breton Bay Brewing Company,"40140 Wathen Road, Leonardtown, MD 20650",40140 Wathen Road,"Leonardtown, MD 20650",Phone: (410) 231-4778,Type: Micro,www.bretonbaybrewing.com,-76.6888685,38.3004231,premise,rooftop,"40140 wathen rd, leonardtown, md 20650, usa",38.3017705302915,38.2990725697085,-76.6875285197085,-76.69022648029151
Brewer's Alley Restaurant and Brewery,"124 N Market St, Frederick, MD 21701-5422",124 N Market St,"Frederick, MD 21701-5422",Phone: (301) 631-0089,Type: Brewpub,www.brewers-alley.com,-77.4105326,39.4160762,premise,rooftop,"124 n market st, frederick, md 21701, usa",39.41741273029149,39.4147147697085,-77.4090984697085,-77.4117964302915
Brewery Fire,"4337 Old Taneytown Rd STE B, Taneytown, MD 21787",4337 Old Taneytown Rd STE B,"Taneytown, MD 21787",Phone: (410) 680-6005,Type: Taproom,www.breweryfire.com,-77.1549014,39.6465571,subpremise,rooftop,"4337 old taneytown rd b, taneytown, md 21787, usa",39.6479202802915,39.6452223197085,-77.1535723697085,-77.15627033029152
Brookeville Beer Farm,"20315 Georgia Ave, Brookeville, MD 20833-1711",20315 Georgia Ave,"Brookeville, MD 20833-1711",Phone: (301) 260-1000,Type: Taproom,www.brookevillebeerfarm.com,-77.0601791,39.1898026,premise,rooftop,"20315 georgia ave, brookeville, md 20833, usa",39.1911156802915,39.1884177197085,-77.05880486970848,-77.0615028302915
Bull and Goat Brewery,"204 Banjo Ln, Centreville, MD 21617-1067",204 Banjo Ln,"Centreville, MD 21617-1067",NA,Type: Taproom,www.bullandgoatbrewery.com,-76.06271509999999,39.0451719,premise,rooftop,"204 banjo ln, centreville, md 21617, usa",39.046551030291504,39.0438530697085,-76.0614163197085,-76.0641142802915
Burley Oak Craft Brewery,"10016 Old Ocean City Blvd, Berlin, MD 21811-1145",10016 Old Ocean City Blvd,"Berlin, MD 21811-1145",Phone: (410) 422-8887,Type: Micro,www.burleyoak.com,-75.21695679999999,38.3336748,premise,rooftop,"10016 old ocean city blvd, berlin, md 21811, usa",38.3349926302915,38.3322946697085,-75.2156286197085,-75.2183265802915
Calvert Brewing Co,"15850 Commerce Ct, Upper Marlboro, MD 20774-7437",15850 Commerce Ct,"Upper Marlboro, MD 20774-7437",Phone: (240) 245-4609,Type: Micro,calvertbrewingcompany.com,-76.7309466,38.8864624,premise,rooftop,"15850 commerce ct, upper marlboro, md 20774, usa",38.8877252802915,38.8850273197085,-76.7296173697085,-76.73231533029151
Calvert Brewing Co,"150 Adelina Rd, Prince Frederick, MD 20678-3709",150 Adelina Rd,"Prince Frederick, MD 20678-3709",Phone: (410) 414-8486,Type: Micro,www.calvertbrewingcompany.com,-76.6222702,38.5097721,street_address,rooftop,"150 adelina rd, prince frederick, md 20678, usa",38.5111210802915,38.5084231197085,-76.6209212197085,-76.62361918029151
Checkerspot Brewing Company,"175 W Ostend St, Baltimore, MD 21230",175 W Ostend St,"Baltimore, MD 21230",Phone: (410) 591-5527,Type: Taproom,www.checkerspotbrewing.com,-76.6194561,39.2743686,street_address,rooftop,"175 w ostend st, baltimore, md 21230, usa",39.27571758029149,39.27301961970849,-76.61810711970848,-76.62080508029149
Chesepiooc Real Ale Brewery,"2408 Crofton Blvd, Crofton, MD 21114",2408 Crofton Blvd,"Crofton, MD 21114",Phone: (410) 630-1579,Type: Taproom,www.brewcrab.com,-76.69874659999999,39.0158457,premise,rooftop,"2408 crofton blvd, crofton, md 21114, usa",39.0171451302915,39.0144471697085,-76.6974098197085,-76.7001077802915
