name,addr,street,citystatezip,phone,type,website,lon,lat,addrtype,loctype,address,north,south,east,west
1781 Brewing Company,"11109 Plank Rd, Spotsylvania, VA 22553-4258",11109 Plank Rd,"Spotsylvania, VA 22553-4258",Phone: (540) 841-2598,Type: Taproom,NA,-77.7188498,38.3245154,street_address,rooftop,"11109 plank rd, locust grove, va 22508, usa",38.3258643802915,38.3231664197085,-77.71750081970849,-77.72019878029151
1865 Brewing Co.,"9 S Mallory St, Hampton, VA 23663",9 S Mallory St,"Hampton, VA 23663",Phone: (757) 964-9571,Type: Brewpub,Www.1865brewingcompany.com,-76.3214567,37.0188312,street_address,rooftop,"9 s mallory st, hampton, va 23663, usa",37.0201801802915,37.0174822197085,-76.3201077197085,-76.32280568029151
2 Silos Brewing Company,"9925 Discovery Blvd, Manassas, VA 20109",9925 Discovery Blvd,"Manassas, VA 20109",Phone: (703) 420-2257,Type: Taproom,www.2silosbrewing.com,-77.5217231,38.7429767,premise,rooftop,"historic district, 9925 discovery blvd, manassas, va 20109, usa",38.7442868802915,38.7415889197085,-77.5204261697085,-77.5231241302915
2 Witches Winery and Brewing Company,"209 Trade St, Danville, VA 24541-3545",209 Trade St,"Danville, VA 24541-3545",Phone: (434) 549-2739,Type: Taproom,www.2witcheswinebrew.com,-79.4211127,36.5857031,premise,rooftop,"209 trade st, danville, va 24541, usa",36.5869568302915,36.5842588697085,-79.41964416970849,-79.42234213029151
"6 Bears & A Goat Brewing Company, LLC","1140 International Pkwy, Fredericksburg, VA 22406-1126",1140 International Pkwy,"Fredericksburg, VA 22406-1126",Phone: 540-356-9056 Ext. 2,Type: Brewpub,www.6bgbrewingco.com,-77.51424209999999,38.3625039,premise,rooftop,"1140 international pkwy, fredericksburg, va 22406, usa",38.3638456302915,38.3611476697085,-77.51287411970848,-77.51557208029149
7 Dogs Brewpub,"360 W Spring St, Wytheville, VA 24382",360 W Spring St,"Wytheville, VA 24382",Phone: (276) 228-0994,Type: Brewpub,NA,-81.084878,36.9475889,street_address,rooftop,"360 w spring st, wytheville, va 24382, usa",36.9489378802915,36.9462399197085,-81.08352901970851,-81.08622698029151
A Few Old Goats Brewing,"515 8th St SW Ste 228, Roanoke, VA 24016",515 8th St SW Ste 228,"Roanoke, VA 24016",Phone: (540) 339-9562,Type: Taproom,NA,-79.9556819,37.2703832,subpremise,rooftop,"515 8th st sw #228, roanoke, va 24016, usa",37.2717390302915,37.2690410697085,-79.95441666970851,-79.95711463029151
Adroit Theory Brewing Company,"404 Browning Ct, Purcellville, VA 20132-6171",404 Browning Ct,"Purcellville, VA 20132-6171",Phone: (703) 434-0553,Type: Micro,www.adroit-theory.com,-77.7203935,39.1439613,premise,rooftop,"404 browning ct, purcellville, va 20132, usa",39.1453177802915,39.1426198197085,-77.7190036197085,-77.72170158029151
Adventure Brewing Co,"33 Perchwood Dr Ste 101, Fredericksburg, VA 22405-4552",33 Perchwood Dr Ste 101,"Fredericksburg, VA 22405-4552",Phone: (540) 242-8876,Type: Taproom,www.adventurebrewing.com,-77.4409046,38.384258,subpremise,rooftop,"33 perchwood dr #101, fredericksburg, va 22405, usa",38.3856069802915,38.3829090197085,-77.43955561970849,-77.44225358029149
Adventure Brewing Co Eagle Village,"1113 Jefferson Davis Hwy, Fredericksburg, VA 22401",1113 Jefferson Davis Hwy,"Fredericksburg, VA 22401",NA,Type: Taproom,NA,-77.4801556,38.3074856,street_address,rooftop,"1113 jefferson davis hwy, fredericksburg, va 22401, usa",38.3088345802915,38.3061366197085,-77.4788066197085,-77.48150458029151
